Date,Description,Cost
2025-08-04,DOLLAR-GENERAL #7191 SAN MARCOS TX,11.37
2025-08-07,H-E-B #243 SAN MARCOS TX,11.75
2025-08-07,MCDONALD'S F7877 AUSTIN TX,5.07
2025-08-07,Amazon.com*HF6R64SA3 Amzn.com/bill WA,37.93
2025-08-07,MINT MOBILE 800-683-7392 CA,52.93
2025-08-08,Amazon.com*679TB2FG3 Amzn.com/bill WA,21.64
2025-08-08,DD *THEMOUNTAINSKITCH 855-431-0459 CA,12.98
2025-08-11,BackMarketUSMP 170-7724930 NY,407.48
2025-08-12,H-E-B #243 SAN MARCOS TX,2.04
2025-09-21,WALMART.COM 800-925-6278 AR,21.09
2025-09-22,UBER *EATS HELP.UBER.COM CA,18.82
2025-09-23,WALMART.COM 800-925-6278 AR,79.64
2025-09-23,WALMART.COM 800-925-6278 AR,3.31
2025-09-26,H-E-B #455 SAN MARCOS TX,25.0
2025-10-05,H-E-B #243 SAN MARCOS TX,3.98
2025-10-13,CITY OF SAN MARCOS 512-393-8383 TX,190.51
2025-10-15,H-E-B #455 SAN MARCOS TX,4.63
2025-10-15,AMAZON MKTPL*NF5NL1YK2 Amzn.com/bill WA,4.09
2025-10-16,MOMO N BIRYANI 181-79715063 TX,5.67
2025-10-19,FLIX 122-2237631 TX,13.48
2025-10-21,FLIX 122-2237631 TX,7.09
2025-10-30,MILLS STREET MARKET SAN MARCOS TX,6.47
2025-10-31,MILLS STREET MARKET SAN MARCOS TX,7.56
2025-11-03,WM SUPERCENTER #404 SAN MARCOS TX,40.98
2025-11-03,IKEA SAN MARCOS SAN MARCOS TX,3.25
2025-11-03,WAL-MART #0404 SAN MARCOS TX,2.48
2025-11-13,H-E-B #243 SAN MARCOS TX,1.72
2025-11-16,TXSTALKEKSBS SAN MARCOS TX,6.77
2025-11-17,MILLS STREET MARKET SAN MARCOS TX,1.07
2025-11-17,MILLS STREET MARKET SAN MARCOS TX,5.89
2025-11-24,H-E-B #455 SAN MARCOS TX,2.9
2025-11-28,WALMART.COM 800-925-6278 AR,39.96
2025-11-28,H-E-B #243 SAN MARCOS TX,10.84
2025-11-30,WALMART.COM 800-925-6278 AR,17.88
2025-12-03,H-E-B #243 SAN MARCOS TX,15.92
2025-12-03,DD *DOORDASHDASHPASS DOORDASH.COM CA,4.99
2025-12-04,DD *DOORDASH BURGERKIN 855-431-0459 CA,11.89
2025-12-04,WALMART.COM 800-925-6278 AR,42.65
2025-12-11,H-E-B #243 SAN MARCOS TX,58.96
2025-12-14,SPIN* PENDING.BIRD.CO BIRD.CO CA,12.32
2025-12-20,CERTUS FUSION TRAINING WWW.CERTUS.CO FL,36.0
